filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,label
classics.0000.wav,0.34778711199760437,0.0914117693901062,2296.289957238209,2463.0566911742603,5098.572881924304,0.09436629930394431,classics
classics.0001.wav,0.31069415807724,0.09255578368902206,2275.4259274122037,2449.126240793378,5041.679761138704,0.08934810487964037,classics
classics.0002.wav,0.3071571886539459,0.0775926411151886,2278.8544187041157,2346.95740459195,4835.090909811847,0.09990902787848027,classics
classics.0003.wav,0.3358125388622284,0.08991537243127823,2359.5793365612453,2449.366853310224,5140.165437844403,0.10280019667198376,classics
classics.0004.wav,0.31162360310554504,0.09884671866893768,2277.563446669,2431.8912118605917,5003.009925364342,0.08808491788718098,classics
classics.0005.wav,0.32530224323272705,0.07350283861160278,2303.947093973101,2322.5919876467506,4820.864507051189,0.10485415005075406,classics
classics.0006.wav,0.31436264514923096,0.09375565499067307,2293.968596156325,2446.7661379622878,5044.977188995432,0.09267657428219257,classics
classics.0007.wav,0.31110048294067383,0.08910977095365524,2217.2539023671325,2412.2066587956892,4876.845839073376,0.08388071436339907,classics
classics.0008.wav,0.40230342745780945,0.12395277619361877,3225.2342040427657,2906.508754835548,6814.259568499855,0.1539207511600928,classics
classics.0009.wav,0.394047349691391,0.1323048323392868,3276.173481836536,2980.047415083528,6980.6173019232165,0.153550858287413,classics
classics.0010.wav,0.3939015567302704,0.134240984916687,3274.9414283848905,2973.1276669261115,6972.523615365792,0.15306201058584687,classics
classics.0011.wav,0.412006139755249,0.13010047376155853,3231.9863834506455,2884.0156212512193,6796.21114708708,0.16262597882830626,classics
classics.0012.wav,0.37636998295783997,0.14364567399024963,3248.2341182507594,2912.018519616295,6847.708476834397,0.15720107217952436,classics
classics.0013.wav,0.27751415967941284,0.25007495284080505,2773.077434177165,2510.0026884563645,5660.646938669156,0.14805174648346867,classics
classics.0014.wav,0.2979864776134491,0.3227999210357666,2612.743216745425,2691.3630856893806,5944.138302548579,0.10575707384715777,classics
classics.0015.wav,0.31326547265052795,0.33057108521461487,2441.8398830090264,2632.7747837281895,5687.975621057497,0.08899010748984919,classics
classics.0016.wav,0.2878222167491913,0.26282715797424316,2806.844568459249,2517.9695724753637,5663.619619843025,0.1527578260948376,classics
classics.0017.wav,0.2934233844280243,0.3157166540622711,2521.3163272283327,2696.296058321062,5854.658101163718,0.09546521534222738,classics
classics.0018.wav,0.23483066260814667,0.1046280711889267,2294.430708370928,2097.0209059330773,4542.718973181917,0.12559420769286542,classics
classics.0019.wav,0.23403939604759216,0.10911218076944351,1805.8051527509504,1969.4794033831718,3749.8124762090342,0.06752669119779582,classics
classics.0020.wav,0.27349212765693665,0.11353854835033417,2221.8922911799136,2095.145213435044,4471.424586037196,0.11652361876450117,classics
classics.0021.wav,0.24374139308929443,0.10303810983896255,2562.5581662483937,2289.040888315991,5134.807117577218,0.13922586463167053,classics
classics.0022.wav,0.25960811972618103,0.1231839582324028,2158.687873296682,2174.5454962014196,4482.878151736514,0.09469370830916474,classics
classics.0023.wav,0.3216869533061981,0.14513865113258362,2868.55889476787,2475.273492127295,5683.8288557225205,0.16626599659222738,classics
classics.0024.wav,0.3742711842060089,0.16866418719291687,2620.0982857089307,2601.085634408996,5681.493177657338,0.1233068762688515,classics
classics.0025.wav,0.3881230354309082,0.14631560444831848,2743.4638043321734,2678.88942093589,5958.014978112312,0.13233668068445475,classics
classics.0026.wav,0.3804015517234802,0.14140480756759644,2675.7094616632608,2684.943346997567,5910.814296784368,0.1258043612238979,classics
classics.0027.wav,0.36616653203964233,0.16610169410705566,2305.4350758550418,2427.3829203211676,5034.023233577436,0.099130156975058,classics
classics.0028.wav,0.34352803230285645,0.09252896904945374,2736.084748660212,2729.958162092483,5933.00948353212,0.12401154201711137,classics
classics.0029.wav,0.29351404309272766,0.09647926688194275,2430.2682332010104,2695.8323521966013,5643.435364477596,0.08172196744489559,classics
