filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc9,mfcc10,mfcc11,mfcc12,mfcc14,mfcc15,label
classics.0000.wav,-184.8615723,79.00543976,10.52296352,60.2361145,12.46921062,1.309084892,-26.99284172,1.468589306,-1.66207397,-1.946450472,-1.68747282,7.155621052,-8.988636017,classics
classics.0001.wav,-174.6681366,81.36510468,7.059950352,58.50028992,14.40182686,-1.031906843,-27.48602867,-0.841469884,-7.235286236,-5.877909184,-0.003180696,8.323271751,-13.38108349,classics
classics.0002.wav,-196.1484985,81.53723145,-2.361345291,55.45605087,15.6554718,2.443335295,-21.24691391,2.57453227,-8.1929245,-6.844919205,-1.222391844,9.279100418,-9.092374802,classics
classics.0003.wav,-181.0053253,78.46818542,5.199376106,54.22305679,10.67311192,5.920750141,-19.42852211,-0.640657723,-6.49729538,-5.242215633,1.042931318,7.314175129,-8.008349419,classics
classics.0004.wav,-174.5678711,82.27651978,6.732984543,58.52945709,14.02115154,-0.810867786,-28.99314117,-0.419128448,-8.561412811,-5.459587097,0.487647504,9.836624146,-13.63003731,classics
classics.0005.wav,-199.1696472,81.80015564,-2.794133902,55.11689377,14.24127674,3.163447142,-17.34986115,5.594778538,-7.511090755,-7.278059006,-2.968167305,11.95908451,-6.785305977,classics
classics.0006.wav,-178.2976074,81.96691895,8.646970749,54.98873138,10.23554993,0.181234792,-24.12762451,0.983297586,-5.928406239,-4.836293221,1.146792531,10.41637611,-9.838117599,classics
classics.0007.wav,-181.8367157,84.67390442,6.740584373,58.52893066,14.55582905,-3.609538794,-29.30065918,-0.016674865,-7.910583496,-6.663332462,-0.143612012,9.633413315,-12.64171505,classics
classics.0008.wav,-98.05004883,59.49520493,1.42511332,19.03848267,9.324482918,6.976494312,-6.462390423,2.709131479,3.318887949,-4.489518166,1.476801872,-0.564228475,-5.632138252,classics
classics.0009.wav,-76.45626068,60.4708519,8.61623764,19.5891552,6.105516434,8.898763657,-1.085505605,-4.976289272,1.829705119,-2.427971601,-0.696760654,-1.244519353,-8.936443329,classics
classics.0010.wav,-78.44525909,58.89493942,7.129841805,21.86467743,11.84535599,9.815593719,-3.524438381,-2.060233116,1.958815098,-3.81106329,0.097148426,-0.439483613,-8.768389702,classics
classics.0011.wav,-68.8529892,59.86789322,-2.720359325,19.91949272,9.121623039,7.389016151,-5.715549946,0.044877976,1.88529706,-4.204764366,1.497029901,-0.709826827,-6.410859585,classics
classics.0012.wav,-68.19055939,58.86691666,3.006971836,20.21891022,7.985529423,7.949334145,-2.118129015,-7.366210938,3.227077961,-0.056141332,-2.883395672,2.506535769,-8.758609772,classics
classics.0013.wav,-66.27973938,62.35079575,5.386133194,51.24662781,-5.647611618,21.51248932,-6.028361797,-11.98583603,1.451357126,-9.398629189,-5.564748764,-0.506097376,-6.257360935,classics
